cohort,cohort_years,race,ethnicity,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A0,A0,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,A0,A2,40950,35380,20580,49590,23940,11520,23010,31520,37830,33970,45540,53780,49320,64500,76510,1,1,1,1,1,1,1,1,1
0,16,A0,A1,271400,227400,134400,293400,144900,72590,23380,31070,36250,34740,45400,52440,51300,65220,75350,1,1,1,1,1,1,1,1,1
0,16,A1,A0,226300,186000,107000,237900,113900,53920,23180,31180,37220,34300,45570,53710,50480,65210,76750,1,1,1,1,1,1,1,1,1
0,16,A1,A2,33980,29300,17000,39250,18590,8771,22950,31540,38130,33800,45470,54020,48950,64390,76660,1,1,1,1,1,1,1,1,1
0,16,A1,A1,192300,156700,90020,198700,95360,45150,23220,31120,37040,34390,45590,53650,50760,65380,76760,1,1,1,1,1,1,1,1,1
0,16,A2,A0,66870,59930,37990,76120,40970,23750,24130,31190,34480,35910,45110,49510,52800,64890,71390,1,1,1,1,1,1,1,1,1
0,16,A2,A2,3333,2997,1773,5609,3061,1602,24060,33300,36970,35990,47280,53130,52140,66450,77260,1,1,1,1,1,1,1,1,1
0,16,A2,A1,63540,56930,36210,70520,37910,22150,24130,31100,34380,35910,44990,49340,52840,64800,71110,1,1,1,1,1,1,1,1,1
0,16,A3,A0,3665,3055,1792,5120,2609,1243,21190,26920,33020,31220,39720,47640,45310,56800,67640,1,1,1,1,1,1,1,1,1
0,16,A3,A2,1195,1038,593,1596,774,387,22450,28140,35880,32280,41050,50870,47760,59920,72130,1,1,1,1,1,1,1,1,1
0,16,A3,A1,2470,2017,1199,3524,1835,856,20740,26250,31350,30690,39070,46140,44190,55550,65150,1,1,1,1,1,1,1,1,1
0,16,A4,A0,6330,6071,3657,10810,4933,2136,23450,32490,39600,35760,47320,57830,54230,68120,81310,1,1,1,1,1,1,1,1,1
0,16,A4,A2,622,519,354,759,367,150,22740,32210,37550,35520,45880,54280,51760,63570,74150,1,1,1,1,1,1,1,1,1
0,16,A4,A1,5708,5552,3303,10050,4566,1986,23530,32530,39750,35780,47450,58300,54540,68510,81920,1,1,1,1,1,1,1,1,1
0,16,A5,A0,1366,1119,636,1776,871,418,23540,32210,35790,34590,47380,51010,51270,66880,71700,1,1,1,1,1,1,1,1,1
0,16,A5,A2,240,194,114,272,119,72,25680,32090,36940,35290,48870,54440,50740,64260,75450,1,1,1,1,1,1,1,1,1
0,16,A5,A1,1126,925,522,1504,752,346,23140,32230,35560,34360,47180,50240,51380,67890,70250,1,1,1,1,1,1,1,1,1
0,16,A7,A0,7847,6636,3861,11190,5541,2648,22590,29910,35650,33990,44640,52330,50830,65160,75250,1,1,1,1,1,1,1,1,1
0,16,A7,A2,1588,1327,748,2102,1030,540,22530,30410,34370,33680,46080,51360,49880,66510,76550,1,1,1,1,1,1,1,1,1
0,16,A7,A1,6259,5309,3113,9085,4511,2108,22610,29770,35890,34080,44260,52510,51120,64800,75000,1,1,1,1,1,1,1,1,1
2000,2,A0,A0,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2000,2,A0,A2,6092,6893,6666,4276,3454,3639,23370,31510,38660,33330,44930,54690,45570,62380,77060,1,1,1,1,1,1,1,1,1
2000,2,A0,A1,45150,50180,48260,28940,23630,25090,24010,30600,37150,34460,44310,53420,47950,62170,76190,1,1,1,1,1,1,1,1,1
2000,2,A1,A0,35340,39150,37930,21590,17560,18440,24140,31290,38060,34620,45240,54640,48130,63150,77590,1,1,1,1,1,1,1,1,1
2000,2,A2,A0,13120,14630,13800,9125,7531,8241,23700,29440,35480,33820,42190,50480,46710,58920,72290,1,1,1,1,1,1,1,1,1
2000,2,A3,A0,510,600,562,476,374,401,21600,26170,32550,31890,40180,47820,45350,57930,67780,1,1,1,1,1,1,1,1,1
2000,2,A4,A0,953,1137,1171,885,697,658,22480,32440,41190,33380,47370,60310,46960,65330,81800,1,1,1,1,1,1,1,1,1
2000,2,A5,A0,185,251,234,170,129,140,23230,33030,38380,33030,47980,53770,46570,67790,74790,1,1,1,1,1,1,1,1,1
2000,2,A7,A0,1137,1308,1232,971,788,850,22440,29230,36510,33620,43950,53970,47450,63150,76530,1,1,1,1,1,1,1,1,1
2002,2,A0,A0,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2002,2,A0,A2,4933,6309,6181,4797,3355,3461,21610,29930,36380,30910,43080,51770,43330,60520,74550,1,1,1,1,1,1,1,1,1
2002,2,A0,A1,31560,39140,38530,28810,20960,21290,21860,29120,34560,31940,42830,50290,45720,60250,72520,1,1,1,1,1,1,1,1,1
2002,2,A1,A0,25600,31360,31010,21570,15600,15750,21820,29740,35530,31770,43520,51390,45150,60810,73540,1,1,1,1,1,1,1,1,1
2002,2,A2,A0,8687,11140,10710,9239,6708,7046,22040,28090,32900,32050,41300,47520,46170,58470,69690,1,1,1,1,1,1,1,1,1
2002,2,A3,A0,461,557,547,483,377,373,19730,25760,32150,29000,37660,47140,42680,54770,67430,1,1,1,1,1,1,1,1,1
2002,2,A4,A0,738,1097,1182,1134,755,681,21760,30600,37900,32690,44520,54470,46010,63430,78340,1,1,1,1,1,1,1,1,1
2002,2,A5,A0,143,166,165,135,109,113,22770,29060,31560,30940,44650,45740,40980,58710,64940,1,1,1,1,1,1,1,1,1
2002,2,A7,A0,863,1128,1088,1040,770,783,21010,27840,33940,30890,40860,50300,45850,60520,73810,1,1,1,1,1,1,1,1,1
2004,2,A0,A0,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2004,2,A0,A2,6869,7128,7735,5383,5061,4416,22730,33770,38330,33900,48390,54570,49020,67530,77340,1,1,1,1,1,1,1,1,1
2004,2,A0,A1,43570,43740,47590,30830,30320,26210,22780,33190,36750,34600,47980,53340,51430,69160,76570,1,1,1,1,1,1,1,1,1
2004,2,A1,A0,34830,34810,38080,23460,23200,19720,22660,33190,37790,34240,48090,54770,50930,68910,78370,1,1,1,1,1,1,1,1,1
2004,2,A2,A0,12390,12690,13470,9699,9316,8460,23380,33760,34800,35440,48090,50060,51760,68990,71640,1,1,1,1,1,1,1,1,1
2004,2,A3,A0,633,612,683,545,542,468,21130,29180,34150,31100,42230,47920,46230,58820,67670,1,1,1,1,1,1,1,1,1
2004,2,A4,A0,982,1094,1304,1134,997,796,21810,34040,39910,33530,49330,57840,51100,71700,83450,1,1,1,1,1,1,1,1,1
2004,2,A5,A0,240,247,237,175,174,166,24070,34740,36640,37180,50370,53540,53980,71590,69800,1,1,1,1,1,1,1,1,1
2004,2,A7,A0,1367,1412,1541,1196,1154,1015,21830,32210,36500,33720,47890,52740,49800,70280,75060,1,1,1,1,1,1,1,1,1
2006,2,A0,A0,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2006,2,A0,A2,6300,6278,,4805,4801,,24040,33600,,35520,48700,,51120,69360,,1,1,-1,1,1,-1,1,1,-1
2006,2,A0,A1,38440,38540,,27570,27190,,24270,32940,,36390,48030,,53870,69820,,1,1,-1,1,1,-1,1,1,-1
2006,2,A1,A0,31750,31710,,22130,21920,,23810,32400,,35610,47700,,52550,69430,,1,1,-1,1,1,-1,1,1,-1
2006,2,A2,A0,10130,10110,,7421,7401,,25860,35120,,38450,49610,,55490,70940,,1,1,-1,1,1,-1,1,1,-1
2006,2,A3,A0,520,526,,517,502,,22060,27460,,32860,41260,,44410,57960,,1,1,-1,1,1,-1,1,1,-1
2006,2,A4,A0,935,1104,,1137,972,,24000,35600,,36860,51430,,57900,73870,,1,1,-1,1,1,-1,1,1,-1
2006,2,A5,A0,230,210,,147,168,,27000,35290,,38020,52050,,59040,72280,,1,1,-1,1,1,-1,1,1,-1
2006,2,A7,A0,1175,1158,,1024,1030,,23600,33310,,35320,47790,,54280,71200,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,A0,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,A2,4036,5708,,6326,4612,,26330,29960,,39970,44090,,59510,65040,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,A1,25430,35820,,37850,27200,,26960,30670,,41590,45090,,63890,66280,,1,1,-1,1,1,-1,1,1,-1
2008,2,A1,A0,21370,31170,,32470,22480,,25780,30380,,39460,44590,,61210,65470,,1,1,-1,1,1,-1,1,1,-1
2008,2,A2,A0,6266,7652,,7925,6479,,32020,32020,,48050,47140,,68810,69060,,1,1,-1,1,1,-1,1,1,-1
2008,2,A3,A0,312,444,,647,520,,22910,27200,,33460,39010,,51270,54620,,1,1,-1,1,1,-1,1,1,-1
2008,2,A4,A0,606,1042,,1447,995,,27900,30590,,44500,44940,,70030,69180,,1,1,-1,1,1,-1,1,1,-1
2008,2,A5,A0,113,147,,212,172,,24930,29320,,36370,44150,,50180,60840,,1,1,-1,1,1,-1,1,1,-1
2008,2,A7,A0,799,1080,,1471,1164,,26750,28050,,39880,42890,,58610,63920,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,A0,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,A2,3800,3063,,8320,2655,,23220,29310,,35480,42800,,56840,60150,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,A1,26680,19980,,49380,15630,,24200,29550,,37320,43350,,61130,63020,,1,1,-1,1,1,-1,1,1,-1
2010,2,A1,A0,23300,17780,,42480,13190,,23420,29560,,35740,43260,,57680,62400,,1,1,-1,1,1,-1,1,1,-1
2010,2,A2,A0,5320,3700,,10420,3532,,27640,29830,,44050,43800,,69710,64290,,1,1,-1,1,1,-1,1,1,-1
2010,2,A3,A0,363,316,,897,295,,21410,24870,,32750,36770,,51590,54050,,1,1,-1,1,1,-1,1,1,-1
2010,2,A4,A0,582,597,,1728,515,,26870,31480,,43180,45760,,68690,67060,,1,1,-1,1,1,-1,1,1,-1
2010,2,A5,A0,143,98,,327,118,,23800,27630,,36010,40180,,68640,58190,,1,1,-1,1,1,-1,1,1,-1
2010,2,A7,A0,769,550,,1852,636,,24600,27300,,37050,41630,,62190,58660,,1,1,-1,1,1,-1,1,1,-1
2012,2,A0,A0,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A0,A2,5692,,,10680,,,21940,,,32380,,,48090,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A0,A1,39240,,,62220,,,22090,,,32210,,,47510,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A1,A0,35050,,,51690,,,22110,,,32160,,,47300,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A2,A0,7173,,,15080,,,22000,,,32780,,,49570,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A3,A0,536,,,1094,,,20930,,,30730,,,43330,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A4,A0,920,,,2197,,,23020,,,33810,,,51350,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A5,A0,192,,,384,,,20900,,,31700,,,45130,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A7,A0,1061,,,2460,,,21500,,,30560,,,46040,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,A0,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,A2,3231,,,4994,,,22180,,,32170,,,46150,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,A1,21340,,,27780,,,22680,,,33080,,,47020,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A1,A0,19040,,,22550,,,22720,,,33020,,,46880,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A2,A0,3792,,,7219,,,22160,,,32470,,,46070,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A3,A0,330,,,461,,,20740,,,29650,,,40540,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A4,A0,614,,,1146,,,24610,,,37550,,,56020,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A5,A0,120,,,226,,,22170,,,31790,,,47290,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A7,A0,676,,,1173,,,21750,,,32430,,,47180,,,1,-1,-1,1,-1,-1,1,-1,-1
2000,2,A1,A2,5014,5659,5519,3275,2606,2718,23530,31710,39180,33290,44940,55050,45500,62520,77210,1,1,1,1,1,1,1,1,1
2000,2,A1,A1,30320,33490,32420,18310,14960,15730,24250,31220,37860,34850,45280,54560,48610,63270,77650,1,1,1,1,1,1,1,1,1
2000,2,A2,A2,531,607,556,566,497,530,23240,29610,36810,34350,44540,53840,46940,62730,78250,1,1,1,1,1,1,1,1,1
2000,2,A2,A1,12580,14030,13230,8557,7036,7711,23720,29450,35460,33760,42120,50370,46660,58730,72120,1,1,1,1,1,1,1,1,1
2000,2,A3,A2,165,206,190,152,116,125,21960,27420,36900,30760,39980,50090,45030,54180,66910,1,1,1,1,1,1,1,1,1
2000,2,A3,A1,345,409,386,326,258,276,21630,25210,31670,32770,40630,47090,45520,59040,68580,1,1,1,1,1,1,1,1,1
2000,2,A4,A2,130,132,128,61,62,55,21330,36580,41140,31610,48120,55830,42280,60640,77750,1,1,1,1,1,1,1,1,1
2000,2,A4,A1,832,1017,1032,826,637,599,22750,31880,41370,34210,47070,61010,49870,66090,82140,1,1,1,1,1,1,1,1,1
2000,2,A5,A2,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
2000,2,A5,A1,163,201,192,138,107,112,22510,32160,38740,33940,46610,53030,47020,65100,72500,1,1,1,1,1,1,1,1,1
2000,2,A7,A2,225,264,227,194,157,183,21890,30830,35290,34310,45550,51190,47770,62350,76490,1,1,1,1,1,1,1,1,1
2000,2,A7,A1,913,1051,1011,783,631,667,22670,28760,36850,33250,43380,54460,46810,63320,76300,1,1,1,1,1,1,1,1,1
2002,2,A1,A2,4055,5197,5104,3743,2578,2659,21420,30220,36710,30580,43350,51880,42790,60380,74190,1,1,1,1,1,1,1,1,1
2002,2,A1,A1,21540,26170,25900,17830,13020,13090,21910,29640,35290,32010,43550,51280,45660,60920,73420,1,1,1,1,1,1,1,1,1
2002,2,A2,A2,414,548,529,572,442,452,23990,30470,35720,34800,43800,53240,49420,63130,79330,1,1,1,1,1,1,1,1,1
2002,2,A2,A1,8265,10610,10210,8666,6268,6591,21920,27970,32840,31920,41170,47350,45930,58090,69360,1,1,1,1,1,1,1,1,1
2002,2,A3,A2,162,196,188,153,114,115,20670,26860,34570,31180,38640,51120,45150,57160,74720,1,1,1,1,1,1,1,1,1
2002,2,A3,A1,302,359,354,324,263,258,19180,25660,31340,27740,38450,46380,41930,56730,62530,1,1,1,1,1,1,1,1,1
2002,2,A4,A2,70,111,115,80,,,24050,30200,36920,34860,43790,49880,45720,62440,69380,1,1,1,1,5,5,1,1,1
2002,2,A4,A1,661,1010,1075,1053,708,636,21500,30700,37810,32370,44920,54690,46090,64220,79450,1,1,1,1,1,1,1,1,1
2002,2,A5,A2,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
2002,2,A5,A1,116,130,125,110,92,91,21600,30340,31820,29220,45090,46060,40180,58090,61700,1,1,1,1,1,1,1,1,1
2002,2,A7,A2,192,235,232,213,162,168,20470,26790,33830,28410,39880,48530,42730,60840,76310,1,1,1,1,1,1,1,1,1
2002,2,A7,A1,680,896,876,826,609,616,21430,28140,33810,31990,40870,50260,46890,59670,73410,1,1,1,1,1,1,1,1,1
2004,2,A1,A2,5653,5857,6370,4162,3923,3389,22700,33580,38440,33740,48020,54860,48630,67370,77790,1,1,1,1,1,1,1,1,1
2004,2,A1,A1,29180,28950,31710,19300,19280,16330,22660,33110,37660,34350,48100,54760,51380,69280,78510,1,1,1,1,1,1,1,1,1
2004,2,A2,A2,584,642,700,733,681,618,23280,36540,38430,35360,50290,53300,51250,69110,76700,1,1,1,1,1,1,1,1,1
2004,2,A2,A1,11800,12060,12790,8967,8633,7842,23390,33610,34600,35450,47940,49900,51830,69010,71460,1,1,1,1,1,1,1,1,1
2004,2,A3,A2,208,215,224,154,147,141,21180,30430,38120,32130,45490,52910,48120,65760,74970,1,1,1,1,1,1,1,1,1
2004,2,A3,A1,407,410,470,392,394,327,20210,28690,32050,29620,40320,46290,44760,57190,64790,1,1,1,1,1,1,1,1,1
2004,2,A4,A2,94,108,118,82,65,54,23590,33140,36240,35110,49020,55350,47600,69870,77420,1,1,1,1,1,1,1,1,1
2004,2,A4,A1,888,1001,1188,1052,931,745,21780,33970,39890,33460,49430,57770,51770,72170,83650,1,1,1,1,1,1,1,1,1
2004,2,A5,A2,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
2004,2,A5,A1,207,209,214,148,142,143,25700,35180,36110,39100,48640,54540,61730,73530,75780,1,1,1,1,1,1,1,1,1
2004,2,A7,A2,276,290,308,228,214,192,23020,32840,36580,34860,51300,54380,55120,75380,78600,1,1,1,1,1,1,1,1,1
2004,2,A7,A1,1116,1133,1241,971,941,825,21670,32100,36480,33690,46930,52500,48810,69940,74490,1,1,1,1,1,1,1,1,1
2006,2,A1,A2,5188,5180,,3787,3781,,23850,33340,,35210,48440,,50700,69020,,1,1,-1,1,1,-1,1,1,-1
2006,2,A1,A1,26550,26530,,18340,18130,,23800,32200,,35690,47550,,53060,69500,,1,1,-1,1,1,-1,1,1,-1
2006,2,A2,A2,563,549,,587,589,,25540,37960,,37170,50970,,53460,72740,,1,1,-1,1,1,-1,1,1,-1
2006,2,A2,A1,9584,9562,,6833,6813,,25910,34960,,38560,49540,,55750,70860,,1,1,-1,1,1,-1,1,1,-1
2006,2,A3,A2,172,193,,168,151,,21790,29250,,31880,42680,,48120,63910,,1,1,-1,1,1,-1,1,1,-1
2006,2,A3,A1,342,343,,344,351,,21700,26930,,32240,40910,,42750,55670,,1,1,-1,1,1,-1,1,1,-1
2006,2,A4,A2,81,82,,67,75,,21260,35290,,32300,52620,,52430,76760,,1,1,-1,1,1,-1,1,1,-1
2006,2,A4,A1,838,1015,,1072,900,,23960,35320,,36520,51220,,56220,73360,,1,1,-1,1,1,-1,1,1,-1
2006,2,A5,A2,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2006,2,A5,A1,193,173,,132,143,,25590,34380,,37370,51300,,57460,72750,,1,1,-1,1,1,-1,1,1,-1
2006,2,A7,A2,230,223,,181,179,,25910,33490,,36580,49880,,53660,72460,,1,1,-1,1,1,-1,1,1,-1
2006,2,A7,A1,942,928,,844,851,,22840,33200,,34720,47600,,53820,70930,,1,1,-1,1,1,-1,1,1,-1
2008,2,A1,A2,3359,4846,,5135,3643,,25920,30050,,39520,44150,,59000,65040,,1,1,-1,1,1,-1,1,1,-1
2008,2,A1,A1,18010,26330,,27330,18840,,25760,30450,,39450,44680,,61780,65570,,1,1,-1,1,1,-1,1,1,-1
2008,2,A2,A2,340,452,,642,529,,32740,31460,,48260,46700,,68310,69420,,1,1,-1,1,1,-1,1,1,-1
2008,2,A2,A1,5926,7206,,7282,5955,,31990,32000,,48110,47120,,68940,69030,,1,1,-1,1,1,-1,1,1,-1
2008,2,A3,A2,94,148,,188,148,,24450,29780,,33900,40820,,50370,60770,,1,1,-1,1,1,-1,1,1,-1
2008,2,A3,A1,216,306,,457,374,,22250,26510,,32300,38870,,49800,53060,,1,1,-1,1,1,-1,1,1,-1
2008,2,A4,A2,52,71,,85,72,,24160,24300,,48120,44770,,75120,88210,,1,1,-1,1,1,-1,1,1,-1
2008,2,A4,A1,555,980,,1361,923,,28610,31260,,43920,45600,,68750,69620,,1,1,-1,1,1,-1,1,1,-1
2008,2,A5,A2,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2008,2,A5,A1,95,126,,189,153,,24200,26680,,39510,39850,,60810,60460,,1,1,-1,1,1,-1,1,1,-1
2008,2,A7,A2,146,196,,247,203,,25590,26750,,38060,41880,,52000,62580,,1,1,-1,1,1,-1,1,1,-1
2008,2,A7,A1,631,886,,1225,962,,26870,28820,,40490,43830,,58450,64050,,1,1,-1,1,1,-1,1,1,-1
2010,2,A1,A2,3168,2585,,6642,2052,,23050,29490,,35160,42960,,55640,60360,,1,1,-1,1,1,-1,1,1,-1
2010,2,A1,A1,20130,15210,,35840,11130,,23480,29580,,35840,43320,,58150,62770,,1,1,-1,1,1,-1,1,1,-1
2010,2,A2,A2,298,224,,830,325,,24810,29540,,39280,45030,,62890,60460,,1,1,-1,1,1,-1,1,1,-1
2010,2,A2,A1,5027,3484,,9595,3205,,27860,29860,,44320,43740,,70080,64560,,1,1,-1,1,1,-1,1,1,-1
2010,2,A3,A2,115,99,,276,94,,22920,23230,,34860,37180,,54180,56870,,1,1,-1,1,1,-1,1,1,-1
2010,2,A3,A1,251,209,,625,200,,20840,25370,,32400,35770,,50210,50470,,1,1,-1,1,1,-1,1,1,-1
2010,2,A4,A2,,,,158,,,,,,,,,,,,5,5,-1,1,5,-1,5,5,-1
2010,2,A4,A1,530,544,,1571,464,,26690,31840,,42090,46330,,69090,67990,,1,1,-1,1,1,-1,1,1,-1
2010,2,A5,A2,,,,,,,,,,,,,,,,5,5,-1,5,5,-1,5,5,-1
2010,2,A5,A1,117,93,,286,105,,23410,28610,,35940,45150,,72580,61870,,1,1,-1,1,1,-1,1,1,-1
2010,2,A7,A2,161,111,,379,121,,23990,31580,,35860,43370,,67760,60690,,1,1,-1,1,1,-1,1,1,-1
2010,2,A7,A1,617,439,,1474,517,,24950,26890,,37580,41650,,61260,59100,,1,1,-1,1,1,-1,1,1,-1
2012,2,A1,A2,4806,,,8525,,,22020,,,32520,,,48420,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A1,A1,30240,,,43160,,,22130,,,32130,,,47150,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A2,A2,395,,,1100,,,21460,,,33200,,,51410,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A2,A1,6779,,,13970,,,22050,,,32750,,,49520,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A3,A2,166,,,347,,,22910,,,33760,,,48570,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A3,A1,374,,,747,,,20220,,,30120,,,41690,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A4,A2,73,,,151,,,20430,,,31460,,,46830,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A4,A1,853,,,2047,,,23190,,,33960,,,51960,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A5,A2,,,,76,,,,,,,,,,,,5,-1,-1,1,-1,-1,5,-1,-1
2012,2,A5,A1,167,,,309,,,21130,,,32440,,,46190,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A7,A2,224,,,481,,,21830,,,29650,,,43460,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A7,A1,844,,,1979,,,21620,,,31190,,,47330,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A1,A2,2691,,,3978,,,22070,,,32140,,,45810,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A1,A1,16340,,,18570,,,22820,,,33140,,,47020,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A2,A2,213,,,574,,,21390,,,32450,,,47470,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A2,A1,3580,,,6643,,,22180,,,32400,,,45900,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A3,A2,102,,,155,,,21180,,,29780,,,38680,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A3,A1,217,,,308,,,20290,,,28420,,,39770,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A4,A2,,,,73,,,,,,,,,,,,5,-1,-1,1,-1,-1,5,-1,-1
2014,2,A4,A1,578,,,1071,,,24780,,,37720,,,56120,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A5,A2,,,,,,,,,,,,,,,,5,-1,-1,5,-1,-1,5,-1,-1
2014,2,A5,A1,104,,,195,,,21380,,,35200,,,50370,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A7,A2,142,,,185,,,21570,,,30980,,,46500,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A7,A1,544,,,992,,,22120,,,33920,,,49430,,,1,-1,-1,1,-1,-1,1,-1,-1
